Project 	Year	Month 	Amount
A. 109 VAB_Inactive	2013	7	376.155
A. 109 VAB_Inactive	2013	8	312
A. 109 VAB_Inactive	2013	9	6000
A. 109 VAB_Inactive	2013	10	12772.56
A. 261 CBM_Inactive	2013	9	48
A. 269 OETC	2013	11	84965.799
A. 269 OETC	2013	12	7412.179
A. 269 OETC	2014	1	4722.28
A. 269 OETC	2014	2	18328.77
A. 269 OETC	2014	3	210280.26
A. 269 OETC	2014	4	70792.675
A. 269 OETC	2014	5	680.36
A. 269 OETC	2014	7	55000
A. 269 OETC	2014	8	1238.82
A. 269 OETC	2014	9	3716.46
A. 273 FBK	2013	11	41823.5
A. 273 FBK	2013	12	64095.27
A. 273 FBK	2014	1	17838.15
A. 273 FBK	2014	2	1908.07
A. 273 FBK	2014	3	10409.052
A. 273 FBK	2014	8	8009.76
A. 273 FBK_Inactive	2013	7	70584.372
A. 273 FBK_Inactive	2013	8	24698.853
A. 273 FBK_Inactive	2013	9	13444.585
A. 273 FBK_Inactive	2013	10	255402.701
A. 274 DPC	2014	4	50628.79
A. 274 DPC	2014	5	85768.8
A. 275 STF	2013	11	884.4
A. 275 STF	2013	12	17806.074
A. 275 STF	2014	2	4526.946
A. 275 STF	2014	3	7187.611
A. 275 STF	2014	5	1502
A. 275 STF	2014	12	110
A. 275 STF_Inactive	2013	10	48290.936
A. 276 MTC	2013	12	142.448
A. 276 MTC_Inactive	2013	8	8159.603
A. 276 MTC_Inactive	2013	9	4366.655
A. 276 MTC_Inactive	2013	10	3835.05
A. 278 ABC-II	2013	11	5700.052
A. 278 ABC-II	2013	12	15713.548
A. 278 ABC-II	2014	1	3345.5
A. 278 ABC-II	2014	2	1194.45
A. 278 ABC-II_Inacti	2013	8	12466.575
A. 278 ABC-II_Inacti	2013	9	452.75
A. 278 ABC-II_Inacti	2013	10	53122.737
A. 282 PCA	2013	12	1233.5
A. 282 PCA	2014	1	6665.89
A. 282 PCA	2014	2	1190
A. 282 PCA	2014	3	7248.56
A. 282 PCA	2014	4	189
A. 282 PCA	2014	5	28120.5
A. 282 PCA	2014	6	180.08
A. 282 PCA	2014	8	17353.416
A. 282 PCA	2014	9	285.12
A. 282 PCA	2014	12	256
A. 282 PCA_Inactive	2013	10	1879.808
A. AFW	2013	12	427.12
A. AFW	2014	1	3594.3
A. AFW	2014	2	1652.618
A. AFW	2014	3	10455.151
A. AFW	2014	4	758
A. Misc Clients_Inac	2013	9	441.76
A. Misc Clients_Inac	2013	10	21.153
AC Maint	2016	11	420.25
AC Maint	2016	12	14
AC Maint	2017	1	11322.64
AC Maint	2017	2	100
AC Maint	2017	3	1221
AC Maint	2017	4	200
AC Maint	2017	5	496
AC Maint	2017	6	107.2
AC Maint	2017	7	536
AC Maint	2017	8	315.5
AC Maint	2017	9	663
AC Maint	2017	10	71.75
AC Maint	2017	11	395.05
AC Maint	2017	12	2208.725
AC Maint	2018	1	1170.885
AC Maint	2018	2	488
AC Maint	2018	3	579.8
AC Maint	2018	4	165
AC Maint	2018	5	147
AC Maint	2018	6	540.85
AC Maint	2018	7	2022.36
AC Maint	2018	8	4200.02
AC Maint	2018	9	1621.66
AC Maint	2018	10	750
AC Maint	2018	11	1379.5
AC Maint	2018	12	132
AC Maint	2019	1	631.8
AC Maint	2019	2	26.5
AC Maint	2019	3	240
AC Maint	2019	4	23.716
AC Maint	2019	5	648.5
AC Maint	2019	6	313.72
AC Maint	2019	7	1770.5
AC Maint	2019	8	604.04
AC Maint	2019	9	711.8
AC Maint	2019	10	2711
AC Maint	2019	11	240.8
AC Maint	2020	1	348
AC Maint	2020	2	908.04
AC Maint	2020	3	1358.1
AC Maint	2020	6	733
AC Maint	2020	7	2585.5
AC Maint	2020	8	530
AC Maint	2020	9	1300
AC Maint	2020	10	160.5
AC Maint	2020	11	77
AC Maint	2020	12	122.75
AC Maint	2021	2	581
AC Maint	2021	3	14114.1
AC Maint	2021	5	203.68
AC Maint	2021	6	442.8
AC Maint	2021	8	400.5
AC Maint	2021	9	1385
AC Maint	2021	10	730
AC Maint	2021	11	865
AC Maint	2021	12	791.8
AC Maint	2022	1	42.5
AC Maint	2022	3	592
AC Maint	2022	5	683
AC Maint	2022	7	140
AC Maint	2022	8	2165
AC Maint	2022	9	215
AC Maint	2022	10	899.4
AC Maint	2022	11	5744.32
AC Maint	2022	12	14625.2
AC Maint	2023	1	607.995
AC Maint	2023	2	48.362
AC Maint	2023	3	144.6
AC Maint	2023	4	1436.9
AC Maint	2023	5	763
AC Maint	2023	6	1984
AC Maint	2023	7	330
AC Maint	2023	8	15092.48
AC Maint	2023	10	14522.18
AC Maint	2023	11	12665
AC Maint	2023	12	727.5
AC Maint	2024	1	311.5
AC Maint	2024	2	12750
AC Maint	2024	4	628.5
AC Maint	2024	5	6483.8
AC Maint	2024	6	26491
AC Maint	2024	7	648
AC Maint	2024	8	987.5
