Year	Month	Project 	Amount 
2007	10	CWH-GALA	227702.488
2007	11	CWH-GALA	218196.234
2007	12	CWH-GALA	518377.539
2008	1	CWH-GALA	489676.392
2008	2	CWH-GALA	9039054.807
2008	3	CWH-GALA	670898.868
2008	4	CWH-GALA	209869.304
2008	5	CWH-GALA	509660.732
2008	6	CWH-GALA	614398.262
2008	7	CWH-GALA	204218.312
2008	8	CWH-GALA	73796.284
2008	9	CWH-GALA	198519.009
2008	10	CWH-GALA	213317.574
2008	11	CWH-GALA	90230.303
2008	12	CWH-GALA	185925.1
2009	1	CWH-GALA	161799.167
2009	2	CWH-GALA	213587.987
2009	3	CWH-GALA	307363.289
2009	4	CWH-GALA	157677.285
2009	5	CWH-GALA	20946.339
2009	6	CWH-GALA	772955.343
2009	7	CWH-GALA	71171.447
2009	8	CWH-GALA	129752.443
2009	9	CWH-GALA	30238.897
2009	10	CWH-GALA	80506.031
2009	11	CWH-GALA	67243.62
2009	12	CWH-GALA	179414.554
2010	1	CWH-GALA	277025.869
2010	2	CWH-GALA	330167.678
2010	3	CWH-GALA	88560.74
2010	4	CWH-GALA	248176.67
2010	5	CWH-GALA	703098.742
2010	6	CWH-GALA	287404.7
2010	7	CWH-GALA	248592.927
2010	8	CWH-GALA	342735.618
2010	9	CWH-GALA	251952.526
2010	10	CWH-GALA	986504.2
2010	11	CWH-GALA	2073946.589
2010	12	CWH-GALA	1214567.704
2011	1	CWH-GALA	1873443.29
2011	1	P. 249 SU	475
2011	1	P. 255 PAC	22400
2011	1	P. 262 PCB	47.625
2011	2	BF	117
2011	2	BNS	1842.36
2011	2	CWH-GALA	751438.452
2011	2	CWS	1670.8
2011	2	Gen. Maint	1221.565
2011	2	Mech. Workshop	54172.746
2011	2	NR. 101 QUR	564.4
2011	2	NR. 103 VAA	80.1
2011	2	OFFICE-ADK	1357.001
2011	2	P. 211 IICS	440
2011	2	P. 215 HIJ	510.4
2011	2	P. 227 FLC	13884.51
2011	2	P. 228 CDH	17.5
2011	2	P. 231 MECA	69050.1
2011	2	P. 232 JBZ	43.3
2011	2	P. 234 WET	84.75
2011	2	P. 235 MOHE	107634.23
2011	2	P. 239 IE	37999.198
2011	2	P. 241 KOM4	218.4
2011	2	P. 242 HYHQ	554599.82
